id,submission_time,vote_number,question_id,message,image
a+M7y2Jb,1493398154,6,qxU3rC1+,sfdsfsdfsdf,
a+M7y2Ja,1493398154,4,qxU3rC1+,w3schools Üdv. Martin ,
aX6nv3M+,1611142872,0,qxU3rC1+,no hints,images/uploaded_images/aX6nv3M.png
amB1Ru4+,1611160461,8,qg2!Y5Cf,Nekem adja!! :D,
a-uXrE92,1611161851,5,qOf!U1n8,"Szia!
Ezt a képet egy designer csinálta?",
a2+0iHkZ,1611161874,1,qOf!U1n8,"Szia!
Tuti valami profi volt!",
arw!4T9H,1611161885,1,qOf!U1n8,Kár hogy a válaszra nem lehet válaszolni :(,
aQemW7!5,1611161899,5,qOf!U1n8,"igen, de holnap megcsináljuk :D",
a03K_tPq,1611234486,19,q_O0z4Ns,"Tanuljanak meg ok magyarul, ha egy ilyen ertekes embert akarnak foglalkoztatni, mint te!",
a7BrzD2_,1611234588,22,q_O0z4Ns,"Format C: 
Amikor rakerdez, akkor Y",images/uploaded_images/a7BrzD2_.png
a2_xmEF5,1611235219,0,qOLp5b9-,Világhírű brit tudósok feltalálták a függönyt.,images/uploaded_images/a2_xmEF5.jpeg
ar02Ca_F,1611236342,0,qF6C-uy9,Findings on system,
